defect_id,production_id,defect_type,defect_qty
1,15746,Crack,8
2,7572,Crack,6
3,14301,Scratch,9
4,9966,Dent,7
5,17736,Misalignment,2
6,5614,Discoloration,1
7,12472,Crack,3
8,16596,Dent,4
9,1275,Misalignment,9
10,16099,Crack,5
11,4263,Dent,2
12,7776,Misalignment,5
13,13942,Dent,2
14,11656,Discoloration,9
15,2486,Dent,6
16,12693,Dent,5
17,4371,Scratch,2
18,19783,Discoloration,7
19,4888,Dent,7
20,333,Discoloration,2
21,9219,Dent,6
22,19618,Discoloration,3
23,17920,Misalignment,8
24,18509,Crack,5
25,18617,Scratch,8
26,7648,Crack,7
27,5283,Dent,8
28,7745,Dent,1
29,5698,Misalignment,6
30,953,Dent,3
31,3370,Discoloration,5
32,11546,Crack,2
33,10179,Dent,4
34,6554,Misalignment,6
35,16549,Scratch,1
36,10184,Crack,2
37,19090,Misalignment,2
38,9932,Misalignment,9
39,104,Crack,5
40,7298,Misalignment,5
41,4692,Scratch,6
42,6403,Scratch,3
43,17512,Dent,9
44,16748,Discoloration,3
45,9762,Dent,4
46,8062,Discoloration,9
47,369,Crack,8
48,5054,Misalignment,6
49,5305,Dent,8
50,14866,Misalignment,1
51,15777,Dent,4
52,18477,Dent,4
53,595,Scratch,2
54,17830,Discoloration,2
55,766,Crack,9
56,6437,Misalignment,6
57,6841,Dent,7
58,9873,Misalignment,4
59,4851,Scratch,3
60,15213,Crack,3
61,18278,Discoloration,5
62,14997,Discoloration,6
63,16893,Dent,2
64,17120,Crack,7
65,6354,Discoloration,7
66,2752,Crack,1
67,13612,Misalignment,7
68,10364,Scratch,4
69,19228,Crack,4
70,8484,Crack,3
71,10111,Discoloration,9
72,17196,Dent,3
73,18482,Dent,4
74,10202,Misalignment,3
75,16241,Discoloration,8
76,650,Discoloration,8
77,2598,Scratch,8
78,561,Dent,5
79,14408,Discoloration,7
80,8962,Misalignment,3
81,504,Scratch,8
82,14997,Dent,2
83,11577,Dent,8
84,12449,Dent,6
85,14097,Scratch,2
86,2175,Misalignment,6
87,3528,Misalignment,2
88,13994,Discoloration,3
89,5424,Discoloration,5
90,10479,Dent,1
91,14308,Crack,9
92,15929,Discoloration,3
93,13501,Misalignment,1
94,16279,Dent,6
95,8826,Misalignment,1
96,5153,Dent,3
97,16885,Scratch,7
98,14648,Discoloration,4
99,1564,Scratch,9
100,17559,Discoloration,7
101,18543,Misalignment,5
102,18369,Misalignment,9
103,16904,Crack,3
104,10110,Misalignment,8
105,1329,Dent,8
106,14135,Crack,4
107,9125,Dent,1
108,7660,Crack,4
109,16792,Dent,9
110,17916,Crack,1
111,17008,Discoloration,3
112,15465,Discoloration,8
113,2767,Crack,3
114,19212,Scratch,2
115,4416,Crack,1
116,667,Scratch,9
117,8820,Dent,3
118,11301,Crack,7
119,3277,Scratch,3
120,5606,Crack,8
121,1134,Discoloration,9
122,17894,Discoloration,8
123,11582,Crack,5
124,18243,Crack,2
125,4706,Misalignment,6
126,4575,Discoloration,8
127,16295,Dent,2
128,7557,Crack,6
129,4684,Misalignment,7
130,2412,Crack,9
131,309,Discoloration,9
132,7231,Scratch,2
133,6177,Scratch,1
134,1833,Discoloration,7
135,12974,Dent,6
136,10500,Misalignment,4
137,6880,Crack,9
138,16095,Crack,1
139,2001,Crack,7
140,8859,Misalignment,5
141,1685,Misalignment,5
142,15585,Discoloration,6
143,5618,Misalignment,2
144,6783,Crack,3
145,3077,Crack,9
146,5117,Misalignment,4
147,8638,Misalignment,6
148,4384,Discoloration,3
149,13082,Scratch,3
150,3752,Misalignment,9
151,13853,Scratch,9
152,13063,Dent,3
153,7786,Scratch,3
154,12565,Misalignment,6
