production_id,date,machine_id,product_id,quantity_produced
1,2025-04-19,M07,P05,561
2,2025-01-09,M04,P01,402
3,2025-01-08,M13,P04,686
4,2025-01-24,M15,P07,679
5,2025-02-25,M11,P03,203
6,2025-03-01,M08,P08,328
7,2025-05-10,M13,P07,225
8,2025-06-04,M05,P04,226
9,2025-01-07,M07,P03,241
10,2025-05-24,M10,P07,782
11,2025-02-20,M03,P04,263
12,2025-06-16,M07,P04,224
13,2025-06-29,M11,P07,271
14,2025-05-20,M11,P08,681
15,2025-04-18,M08,P07,467
16,2025-02-26,M05,P06,294
17,2025-04-25,M04,P01,594
18,2025-05-31,M08,P01,563
19,2025-03-13,M08,P03,514
20,2025-01-02,M03,P05,316
21,2025-02-10,M06,P07,363
22,2025-06-28,M05,P08,776
23,2025-04-19,M02,P06,505
24,2025-03-29,M08,P01,399
25,2025-03-13,M12,P01,379
26,2025-02-09,M14,P08,557
27,2025-02-25,M06,P06,451
28,2025-03-28,M02,P02,498
29,2025-01-27,M12,P06,629
30,2025-01-24,M05,P08,203
31,2025-04-08,M01,P01,453
32,2025-01-25,M12,P05,778
33,2025-04-02,M10,P02,766
34,2025-03-30,M06,P08,295
35,2025-06-04,M13,P08,366
36,2025-03-09,M12,P04,530
37,2025-01-12,M09,P06,261
38,2025-04-28,M01,P04,373
39,2025-05-18,M11,P02,452
40,2025-02-01,M11,P02,660
41,2025-04-07,M15,P02,414
42,2025-01-21,M10,P03,438
43,2025-05-22,M12,P06,614
44,2025-03-17,M12,P08,325
45,2025-06-10,M15,P07,452
46,2025-06-08,M14,P05,396
47,2025-04-03,M14,P05,612
48,2025-05-28,M15,P08,655
49,2025-02-19,M14,P04,253
50,2025-06-30,M03,P08,538
51,2025-01-18,M12,P04,558
52,2025-01-12,M07,P07,350
53,2025-06-19,M04,P04,299
54,2025-02-28,M09,P06,433
55,2025-03-16,M03,P01,743
56,2025-01-21,M05,P04,261
57,2025-03-01,M03,P02,395
58,2025-01-26,M07,P04,741
59,2025-04-08,M05,P02,305
60,2025-03-13,M09,P03,494
61,2025-04-27,M07,P01,650
62,2025-06-12,M02,P01,733
63,2025-04-04,M04,P07,355
64,2025-02-11,M09,P06,605
65,2025-04-05,M12,P08,753
66,2025-04-01,M14,P06,771
67,2025-02-23,M02,P05,574
68,2025-06-21,M10,P03,788
69,2025-03-10,M09,P07,654
70,2025-06-29,M10,P06,401
71,2025-06-24,M05,P02,651
72,2025-06-15,M02,P03,386
73,2025-01-19,M04,P01,567
74,2025-06-05,M12,P08,539
75,2025-06-12,M15,P08,461
76,2025-02-13,M12,P02,788
77,2025-05-17,M07,P07,742
78,2025-03-04,M12,P07,750
79,2025-02-11,M13,P03,505
80,2025-04-29,M08,P01,364
81,2025-04-08,M15,P06,287
82,2025-03-11,M03,P02,399
83,2025-06-13,M14,P02,470
84,2025-06-26,M01,P01,250
85,2025-05-23,M04,P02,688
86,2025-02-26,M02,P08,397
87,2025-06-25,M08,P06,222
88,2025-03-25,M04,P06,422
89,2025-01-15,M02,P06,420
90,2025-02-28,M14,P01,465
91,2025-01-09,M06,P04,272
92,2025-03-22,M06,P04,276
93,2025-04-13,M10,P07,743
94,2025-03-10,M04,P07,634
95,2025-01-17,M06,P08,264
96,2025-02-24,M13,P02,556
97,2025-05-26,M15,P06,217
98,2025-03-22,M02,P02,765
99,2025-02-24,M10,P01,774
100,2025-06-17,M12,P02,635
101,2025-05-08,M02,P05,640
102,2025-04-12,M10,P04,208
103,2025-06-14,M14,P02,669
104,2025-04-28,M04,P02,547
105,2025-02-06,M14,P03,571
106,2025-03-09,M15,P08,374
107,2025-02-05,M15,P02,714
108,2025-03-05,M08,P05,329
109,2025-05-24,M14,P04,765
110,2025-05-18,M07,P03,492
111,2025-03-09,M12,P08,552
112,2025-05-30,M09,P01,423
113,2025-04-20,M14,P07,723
114,2025-05-30,M08,P01,708
115,2025-04-13,M05,P04,567
116,2025-04-03,M13,P07,789
117,2025-02-26,M02,P01,699
118,2025-02-05,M15,P08,289
119,2025-05-11,M05,P05,271
120,2025-05-07,M08,P02,632
121,2025-01-24,M10,P04,547
122,2025-01-13,M09,P07,462
123,2025-01-29,M12,P03,470
124,2025-02-09,M12,P02,708
125,2025-06-10,M12,P01,707
126,2025-02-10,M13,P01,619
127,2025-06-24,M09,P03,271
128,2025-04-19,M13,P05,273
129,2025-06-02,M15,P08,702
130,2025-01-17,M13,P08,773
131,2025-04-09,M01,P03,345
132,2025-04-08,M09,P04,245
133,2025-06-02,M07,P03,304
134,2025-04-30,M09,P01,308
135,2025-05-16,M08,P05,516
136,2025-03-06,M01,P05,320
137,2025-05-22,M12,P06,698
138,2025-01-03,M08,P03,242
139,2025-06-24,M08,P04,298
140,2025-01-30,M15,P01,510
141,2025-06-24,M11,P02,413
142,2025-05-18,M03,P08,662
143,2025-03-10,M01,P08,622
144,2025-06-14,M08,P08,588
145,2025-03-29,M03,P05,311
146,2025-01-29,M03,P08,471
147,2025-03-17,M01,P03,301
148,2025-04-22,M11,P06,409
149,2025-02-10,M05,P04,221
150,2025-04-27,M10,P04,358
151,2025-01-01,M07,P07,542
152,2025-03-09,M10,P08,599
153,2025-05-09,M09,P01,653
154,2025-02-15,M12,P05,342
155,2025-05-10,M07,P01,596
156,2025-01-28,M09,P08,735
157,2025-06-10,M08,P06,340
158,2025-03-18,M12,P02,439
159,2025-06-13,M02,P08,491
160,2025-05-10,M01,P02,281
161,2025-06-05,M07,P02,759
162,2025-02-20,M07,P04,370
163,2025-02-09,M14,P05,779
164,2025-04-06,M08,P08,725
165,2025-02-11,M05,P01,741
166,2025-05-19,M03,P01,309
167,2025-05-16,M12,P06,411
168,2025-01-01,M08,P02,637
169,2025-06-03,M06,P05,521
170,2025-03-24,M11,P05,283
171,2025-05-06,M03,P06,575
172,2025-01-05,M01,P03,252
173,2025-01-29,M03,P05,695
174,2025-04-03,M05,P05,455
175,2025-03-20,M15,P01,785
176,2025-03-03,M14,P06,419
177,2025-01-15,M03,P08,299
178,2025-03-03,M01,P05,328
179,2025-05-26,M05,P05,418
180,2025-01-21,M10,P01,676
181,2025-01-22,M07,P08,657
182,2025-05-05,M15,P08,221
183,2025-01-18,M14,P05,759
184,2025-05-17,M07,P01,528
185,2025-02-02,M11,P03,679
186,2025-02-02,M09,P04,538
187,2025-06-18,M15,P07,378
188,2025-05-02,M15,P01,620
189,2025-05-21,M10,P01,681
190,2025-02-12,M10,P05,248
191,2025-03-09,M12,P01,229
192,2025-05-16,M13,P06,284
193,2025-06-05,M03,P02,701
194,2025-04-19,M15,P02,745
195,2025-02-24,M07,P03,528
196,2025-05-19,M01,P08,633
197,2025-06-26,M04,P01,787
198,2025-02-21,M13,P08,448
199,2025-03-21,M04,P06,333
200,2025-04-13,M14,P05,564
201,2025-06-21,M05,P05,774
202,2025-06-16,M07,P07,624
203,2025-04-06,M07,P04,614
204,2025-04-23,M13,P03,711
205,2025-05-13,M15,P06,584
206,2025-04-26,M11,P08,587
207,2025-01-31,M13,P06,648
208,2025-03-05,M04,P07,763
209,2025-02-27,M13,P07,502
210,2025-01-17,M07,P05,298
211,2025-03-28,M11,P08,505
212,2025-01-06,M03,P04,756
213,2025-05-31,M06,P05,241
214,2025-05-22,M12,P04,667
215,2025-02-28,M02,P02,639
216,2025-05-31,M10,P06,526
217,2025-02-26,M13,P07,768
218,2025-01-02,M14,P02,232
219,2025-01-19,M09,P08,611
220,2025-06-11,M05,P05,313
221,2025-01-16,M06,P03,707
222,2025-02-28,M12,P01,255
223,2025-01-18,M12,P03,755
224,2025-01-09,M12,P03,551
225,2025-03-26,M12,P01,528
226,2025-01-19,M04,P06,745
227,2025-05-12,M14,P02,469
228,2025-03-02,M14,P02,395
229,2025-03-13,M11,P06,612
230,2025-06-21,M10,P01,278
231,2025-05-05,M07,P04,282
232,2025-02-24,M12,P03,336
233,2025-05-19,M09,P05,738
234,2025-02-03,M07,P02,505
235,2025-05-27,M14,P06,510
236,2025-05-28,M01,P05,587
237,2025-05-02,M01,P07,748
238,2025-03-04,M09,P01,705
239,2025-05-02,M11,P05,587
240,2025-04-15,M14,P08,492
241,2025-02-18,M09,P05,378
242,2025-01-25,M04,P08,628
243,2025-01-25,M13,P03,723
244,2025-06-18,M09,P01,511
245,2025-04-21,M03,P05,279
246,2025-04-01,M07,P02,213
247,2025-04-19,M06,P01,253
248,2025-04-16,M08,P02,646
249,2025-04-30,M11,P06,264
250,2025-01-14,M09,P06,571
251,2025-06-22,M14,P07,702
252,2025-06-17,M05,P04,769
253,2025-06-15,M01,P06,295
254,2025-01-26,M03,P05,732
255,2025-01-16,M10,P01,459
256,2025-04-14,M12,P06,784
257,2025-03-28,M08,P02,447
258,2025-01-28,M15,P05,326
259,2025-03-05,M11,P06,698
260,2025-02-19,M06,P08,245
261,2025-02-18,M08,P08,467
262,2025-05-18,M09,P03,741
263,2025-04-25,M04,P02,293
264,2025-02-05,M01,P07,515
265,2025-04-19,M14,P07,270
266,2025-02-16,M01,P07,792
267,2025-03-13,M10,P02,648
268,2025-04-29,M04,P07,566
269,2025-03-05,M12,P04,609
270,2025-01-20,M14,P03,290
271,2025-04-24,M07,P04,708
272,2025-05-21,M02,P08,727
273,2025-01-26,M03,P06,309
274,2025-01-13,M01,P03,288
275,2025-06-16,M05,P02,471
276,2025-05-19,M01,P04,446
277,2025-01-04,M08,P05,560
278,2025-01-24,M01,P03,577
279,2025-03-02,M11,P02,405
280,2025-02-12,M01,P01,544
281,2025-04-15,M02,P03,654
282,2025-05-05,M02,P03,266
283,2025-05-04,M12,P06,757
284,2025-02-24,M06,P05,242
285,2025-04-13,M07,P06,428
286,2025-01-16,M05,P07,643
287,2025-02-12,M01,P03,433
288,2025-04-08,M01,P08,398
289,2025-01-01,M03,P03,696
290,2025-04-10,M14,P07,231
291,2025-03-09,M02,P05,463
292,2025-04-27,M05,P05,312
293,2025-03-15,M12,P08,658
294,2025-04-19,M10,P08,475
295,2025-06-28,M06,P04,345
296,2025-05-23,M07,P02,556
297,2025-06-19,M04,P02,205
298,2025-05-05,M07,P04,539
299,2025-02-09,M11,P02,693
300,2025-02-18,M08,P03,307
301,2025-03-17,M11,P04,270
302,2025-02-25,M01,P04,539
303,2025-01-15,M15,P02,299
304,2025-05-29,M06,P01,526
305,2025-05-19,M08,P08,232
306,2025-01-16,M05,P02,342
307,2025-03-22,M04,P06,443
308,2025-01-15,M02,P01,416
309,2025-01-13,M06,P04,633
310,2025-05-30,M06,P01,253
311,2025-05-03,M11,P03,791
312,2025-05-09,M15,P05,350
313,2025-05-16,M01,P01,254
314,2025-02-10,M09,P06,716
315,2025-01-15,M12,P05,647
316,2025-05-11,M11,P03,234
317,2025-01-21,M06,P06,318
318,2025-02-17,M13,P07,396
319,2025-01-18,M03,P05,765
320,2025-06-02,M04,P07,713
321,2025-01-18,M12,P03,793
322,2025-06-22,M11,P05,621
323,2025-03-02,M04,P05,716
324,2025-04-14,M03,P02,338
325,2025-01-31,M10,P06,243
326,2025-05-26,M03,P08,418
327,2025-03-05,M15,P06,767
328,2025-05-29,M03,P01,457
329,2025-06-02,M04,P07,712
330,2025-01-11,M07,P07,576
331,2025-06-08,M04,P06,488
332,2025-01-21,M09,P06,669
333,2025-04-18,M01,P05,302
334,2025-06-18,M08,P07,348
335,2025-05-30,M07,P04,283
336,2025-05-25,M02,P08,225
337,2025-05-14,M08,P02,374
338,2025-03-22,M01,P08,621
339,2025-03-08,M11,P01,545
340,2025-02-22,M12,P08,501
341,2025-06-21,M09,P02,497
342,2025-03-22,M09,P01,334
343,2025-03-03,M02,P03,254
344,2025-03-09,M07,P05,255
345,2025-04-12,M15,P06,573
346,2025-02-03,M14,P06,787
347,2025-06-21,M10,P04,538
348,2025-06-15,M03,P08,656
349,2025-03-18,M07,P07,554
350,2025-04-28,M12,P07,331
351,2025-03-22,M10,P02,692
352,2025-01-19,M09,P02,753
353,2025-01-03,M04,P02,309
354,2025-04-28,M12,P07,781
355,2025-06-09,M01,P06,325
356,2025-05-25,M02,P07,495
357,2025-01-26,M01,P02,378
358,2025-01-19,M14,P05,396
359,2025-05-18,M12,P01,300
360,2025-02-24,M05,P06,772
361,2025-05-10,M05,P05,382
362,2025-03-09,M11,P03,208
363,2025-02-03,M07,P08,612
364,2025-03-31,M09,P05,765
365,2025-01-18,M09,P08,303
366,2025-03-04,M03,P05,325
367,2025-04-05,M03,P03,745
368,2025-03-14,M03,P05,469
369,2025-02-10,M04,P01,665
370,2025-04-23,M08,P06,317
371,2025-05-20,M06,P08,291
372,2025-06-30,M08,P04,684
373,2025-03-19,M01,P07,286
374,2025-06-06,M08,P03,433
375,2025-06-17,M04,P08,323
376,2025-05-16,M11,P06,402
377,2025-01-03,M01,P02,231
378,2025-06-20,M08,P08,556
379,2025-05-22,M04,P01,662
380,2025-03-18,M06,P04,750
381,2025-06-19,M08,P01,293
382,2025-01-27,M04,P08,721
383,2025-02-04,M14,P01,607
384,2025-03-09,M03,P02,299
385,2025-01-30,M14,P04,443
386,2025-01-28,M09,P07,257
387,2025-05-22,M03,P01,556
388,2025-02-09,M09,P02,690
389,2025-03-11,M13,P03,519
390,2025-03-14,M02,P02,218
391,2025-06-04,M14,P05,556
392,2025-02-23,M02,P08,316
393,2025-03-29,M02,P06,335
394,2025-02-22,M06,P08,495
395,2025-06-25,M03,P08,724
396,2025-06-12,M13,P02,300
397,2025-03-09,M09,P02,579
398,2025-05-10,M04,P02,354
399,2025-05-06,M01,P08,793
400,2025-03-06,M04,P07,799
401,2025-01-14,M01,P01,304
402,2025-01-24,M14,P07,725
403,2025-06-12,M05,P04,327
404,2025-04-19,M04,P02,600
405,2025-03-12,M08,P02,771
